Categoría|Indicador |Indicador |Tipo de Indicador|Cantidad de veces|NOTA|PR|VALORACION|GRADO|TURNO|NF|42||344|||||||
Conductual|For-17. Respeta las normas de convivencia.|17. Respeta las normas de convivencia.|Fortaleza/Logro|25|2|25|A mejorar|NOVENO|TM|0,5952381||||||||||
Conductual|For-19. Es puntual en todas sus obligaciones.|19. Es puntual en todas sus obligaciones.|Fortaleza/Logro|21|1|21|A mejorar|NOVENO|TM|0,5||||||||||
Conductual|For-21. Cuida el material propio y ajeno.|21. Cuida el material propio y ajeno.|Fortaleza/Logro|30|3|30|Bueno|NOVENO|TM|0,71428571||||||||||
Conductual|For-23. Escucha con atención y no interrumpe.|23. Escucha con atención y no interrumpe.|Fortaleza/Logro|4|1|4|A mejorar|NOVENO|TM|0,0952381||||||||||
Conductual|For-25. Utiliza el lenguaje de forma respetuosa.|25. Utiliza el lenguaje de forma respetuosa.|Fortaleza/Logro|30|3|30|Bueno|NOVENO|TM|0,71428571||||||||||
Conductual|For-27. Reconoce sus errores honestamente.|27. Reconoce sus errores honestamente.|Fortaleza/Logro|26|2|26|A mejorar|NOVENO|TM|0,61904762|||Suma de Cantidad de veces|Etiquetas de columna||||||
Conductual|For-29. Usa la tecnología con fines educativos.|29. Usa la tecnología con fines educativos.|Fortaleza/Logro|18|1|18|A mejorar|NOVENO|TM|0,42857143|||Etiquetas de fila|Alerta/Mejora|Fortaleza/Logro|Total general||||
Conductual|For-31. Mantiene el orden en espacios comunes.|31. Mantiene el orden en espacios comunes.|Fortaleza/Logro|8|1|8|A mejorar|NOVENO|TM|0,19047619|||Académica|19|99|118||||
Socio-Emocional|For-33. Muestra resiliencia ante el fracaso.|33. Muestra resiliencia ante el fracaso.|Fortaleza/Logro|21|1|21|A mejorar|NOVENO|TM|0,5|||Actitudinal|2|34|36||||
Socio-Emocional|For-35. Trabaja de forma colaborativa y equitativa.|35. Trabaja de forma colaborativa y equitativa.|Fortaleza/Logro|27|2|27|A mejorar|NOVENO|TM|0,64285714|||Conductual|4|105|109||||
Socio-Emocional|For-37. Es empático con las necesidades ajenas.|37. Es empático con las necesidades ajenas.|Fortaleza/Logro|28|2|28|A mejorar|NOVENO|TM|0,66666667|||Socio-Emocional|9|72|81||||
Socio-Emocional|For-39. Posee un liderazgo positivo y ético.|39. Posee un liderazgo positivo y ético.|Fortaleza/Logro|14|1|14|A mejorar|NOVENO|TM|0,33333333|||Total general|34|310|344||||
Socio-Emocional|For-41. Se comunica de manera asertiva.|41. Se comunica de manera asertiva.|Fortaleza/Logro|24|1|24|A mejorar|NOVENO|TM|0,57142857||||||||||
Socio-Emocional|For-43. Tiene una autoestima académica sólida.|43. Tiene una autoestima académica sólida.|Fortaleza/Logro|18|1|18|A mejorar|NOVENO|TM|0,42857143||||Etiquetas de columna||||||
Actitudinal|For-45. Muestra curiosidad e iniciativa propia.|45. Muestra curiosidad e iniciativa propia.|Fortaleza/Logro|23|1|23|A mejorar|NOVENO|TM|0,54761905||||Alerta/Mejora|Fortaleza/Logro|(en blanco)|Total general|||
Actitudinal|For-47. Es persistente en tareas complejas.|47. Es persistente en tareas complejas.|Fortaleza/Logro|20|1|20|A mejorar|NOVENO|TM|0,47619048|||Suma de Cantidad de veces|34|310||344|||
Actitudinal|For-49. Acepta retroalimentación constructiva.|49. Acepta retroalimentación constructiva.|Fortaleza/Logro|26|2|26|A mejorar|NOVENO|TM|0,61904762||||||||||
||||||||||||||||||||
||||||||||||||||||||
|||||||||||||Nota |Cantidad de alumnos||% de Alumnos||||
|||||||||||||1|16||38%||Muy bueno |14|33%
|||||||||||||2|7||17%||Bueno|5|12%
|||||||||||||3|5||12%||A mejorar|23|55%
|||||||||||||4|7||17%||||
|||||||||||||5|7||17%||||
||||||||||||||42||||||
