Categoría|Indicador |Indicador |Tipo de Indicador|Cantidad de veces|NOTA|PR|VALORACION|GRADO|TURNO|NF|37||13,54|||||||
Conductual|For-21. Cuida el material propio y ajeno.|21. Cuida el material propio y ajeno.|Fortaleza/Logro|23|2|23|A mejorar|SEPTIMO|TM|0||||||||||
Conductual|For-23. Escucha con atención y no interrumpe.|23. Escucha con atención y no interrumpe.|Fortaleza/Logro|20|1|20|A mejorar|SEPTIMO|TM|0||||||||||
Conductual|For-25. Utiliza el lenguaje de forma respetuosa.|25. Utiliza el lenguaje de forma respetuosa.|Fortaleza/Logro|13|1|13|A mejorar|SEPTIMO|TM|0||||||||||
Conductual|For-27. Reconoce sus errores honestamente.|27. Reconoce sus errores honestamente.|Fortaleza/Logro|15|1|15|A mejorar|SEPTIMO|TM|0|||Suma de Cantidad de veces|Etiquetas de columna||||||
Conductual|For-29. Usa la tecnología con fines educativos.|29. Usa la tecnología con fines educativos.|Fortaleza/Logro|3|1|3|A mejorar|SEPTIMO|TM|0|||Etiquetas de fila|Alerta/Mejora|Fortaleza/Logro|Total general||||
Conductual|For-31. Mantiene el orden en espacios comunes.|31. Mantiene el orden en espacios comunes.|Fortaleza/Logro|11|1|11|A mejorar|SEPTIMO|TM|0|||Académica|28|90|118||||
Socio-Emocional|For-33. Muestra resiliencia ante el fracaso.|33. Muestra resiliencia ante el fracaso.|Fortaleza/Logro|18|1|18|A mejorar|SEPTIMO|TM|0|||Actitudinal|8|97|105||||
Socio-Emocional|For-35. Trabaja de forma colaborativa y equitativa.|35. Trabaja de forma colaborativa y equitativa.|Fortaleza/Logro|16|1|16|A mejorar|SEPTIMO|TM|0|||Conductual|33|239|272||||
Socio-Emocional|For-37. Es empático con las necesidades ajenas.|37. Es empático con las necesidades ajenas.|Fortaleza/Logro|18|1|18|A mejorar|SEPTIMO|TM|0|||Socio-Emocional|20|162|182||||
Socio-Emocional|For-39. Posee un liderazgo positivo y ético.|39. Posee un liderazgo positivo y ético.|Fortaleza/Logro|4|1|4|A mejorar|SEPTIMO|TM|0|||Total general|89|588|677||||
Socio-Emocional|For-41. Se comunica de manera asertiva.|41. Se comunica de manera asertiva.|Fortaleza/Logro|6|1|6|A mejorar|SEPTIMO|TM|0||||||||||
Socio-Emocional|For-43. Tiene una autoestima académica sólida.|43. Tiene una autoestima académica sólida.|Fortaleza/Logro|6|1|6|A mejorar|SEPTIMO|TM|0||||Etiquetas de columna||||||
Actitudinal|For-45. Muestra curiosidad e iniciativa propia.|45. Muestra curiosidad e iniciativa propia.|Fortaleza/Logro|16|1|16|A mejorar|SEPTIMO|TM|0||||Alerta/Mejora|Fortaleza/Logro|(en blanco)|Total general|||
Actitudinal|For-47. Es persistente en tareas complejas.|47. Es persistente en tareas complejas.|Fortaleza/Logro|5|1|5|A mejorar|SEPTIMO|TM|0|||Suma de Cantidad de veces|89|588||677|||
Actitudinal|For-49. Acepta retroalimentación constructiva.|49. Acepta retroalimentación constructiva.|Fortaleza/Logro|12|1|12|A mejorar|SEPTIMO|TM|0||||||||||
||||||||||||||||||||
||||||||||||||||||||
|||||||||||||Nota |Cantidad de alumnos||% de Alumnos||||
|||||||||||||1|25||68%||Muy bueno |5|14%
|||||||||||||2|4||11%||Bueno|3|8%
|||||||||||||3|3||8%||A mejorar|29|78%
|||||||||||||4|3||8%||||
|||||||||||||5|2||5%||||
||||||||||||||37||||||
||||||||||||||||||||
||||||||||||||||||||
|||||||||||||Nota |VALORACION||||||
|||||||||||||1|A mejorar||||||
|||||||||||||2|A mejorar||||||
|||||||||||||3|Bueno||||||
|||||||||||||4|A mejorar||||||
|||||||||||||5|A mejorar||||||
||||||||||||||||||||
|||||||||||||Etiquetas de fila|Cuenta de NF|Suma de NF|||||
|||||||||||||1|34|0|||||
|||||||||||||2|5|0|||||
|||||||||||||3|4|0|||||
|||||||||||||4|4|0|||||
|||||||||||||5|3|0|||||
|||||||||||||Total general|50|0|||||
