Categoría|Indicador |Indicador |Tipo de Indicador|Cantidad de veces|NOTA|PR|VALORACION|GRADO|TURNO|NF|42||344|||||||
Actitudinal|Ale-48. Abandona proyectos a mitad de camino.|48. Abandona proyectos a mitad de camino.|Alerta/Mejora|3|5|39|Muy bueno |OCTAVO|TM|0,07142857||||||||||
Actitudinal|Ale-50. Se muestra a la defensiva ante críticas.|50. Se muestra a la defensiva ante críticas.|Alerta/Mejora|4|4|38|Muy bueno |OCTAVO|TM|0,0952381||||||||||
Académica|For-01. Domina los conceptos clave del grado.|01. Domina los conceptos clave del grado.|Fortaleza/Logro|12|1|12|A mejorar|OCTAVO|TM|0,28571429||||||||||
Académica|For-03. Posee un pensamiento crítico y analítico.|03. Posee un pensamiento crítico y analítico.|Fortaleza/Logro|11|1|11|A mejorar|OCTAVO|TM|0,26190476||||||||||
Académica|For-05. Entrega trabajos con alta calidad y orden.|05. Entrega trabajos con alta calidad y orden.|Fortaleza/Logro|13|1|13|A mejorar|OCTAVO|TM|0,30952381||||||||||
Académica|For-07. Resuelve problemas lógicos con fluidez.|07. Resuelve problemas lógicos con fluidez.|Fortaleza/Logro|10|1|10|A mejorar|OCTAVO|TM|0,23809524||||||||||
Académica|For-09. Utiliza vocabulario técnico preciso.|09. Utiliza vocabulario técnico preciso.|Fortaleza/Logro|12|1|12|A mejorar|OCTAVO|TM|0,28571429||||||||||
Académica|For-11. Posee excelentes hábitos de lectura.|11. Posee excelentes hábitos de lectura.|Fortaleza/Logro|11|1|11|A mejorar|OCTAVO|TM|0,26190476||||||||||
Académica|For-13. Es autónomo en la realización de tareas.|13. Es autónomo en la realización de tareas.|Fortaleza/Logro|14|1|14|A mejorar|OCTAVO|TM|0,33333333||||||||||
Académica|For-15. Investiga más allá de lo solicitado.|15. Investiga más allá de lo solicitado.|Fortaleza/Logro|10|1|10|A mejorar|OCTAVO|TM|0,23809524||||||||||
Conductual|For-17. Respeta las normas de convivencia.|17. Respeta las normas de convivencia.|Fortaleza/Logro|13|1|13|A mejorar|OCTAVO|TM|0,30952381||||||||||
Conductual|For-19. Es puntual en todas sus obligaciones.|19. Es puntual en todas sus obligaciones.|Fortaleza/Logro|12|1|12|A mejorar|OCTAVO|TM|0,28571429||||||||||
Conductual|For-21. Cuida el material propio y ajeno.|21. Cuida el material propio y ajeno.|Fortaleza/Logro|14|1|14|A mejorar|OCTAVO|TM|0,33333333||||||||||
Conductual|For-23. Escucha con atención y no interrumpe.|23. Escucha con atención y no interrumpe.|Fortaleza/Logro|12|1|12|A mejorar|OCTAVO|TM|0,28571429||||||||||
Conductual|For-25. Utiliza el lenguaje de forma respetuosa.|25. Utiliza el lenguaje de forma respetuosa.|Fortaleza/Logro|14|1|14|A mejorar|OCTAVO|TM|0,33333333||||||||||
Conductual|For-27. Reconoce sus errores honestamente.|27. Reconoce sus errores honestamente.|Fortaleza/Logro|13|1|13|A mejorar|OCTAVO|TM|0,30952381|||Suma de Cantidad de veces|Etiquetas de columna||||||
Conductual|For-29. Usa la tecnología con fines educativos.|29. Usa la tecnología con fines educativos.|Fortaleza/Logro|11|1|11|A mejorar|OCTAVO|TM|0,26190476|||Etiquetas de fila|Alerta/Mejora|Fortaleza/Logro|Total general||||
Conductual|For-31. Mantiene el orden en espacios comunes.|31. Mantiene el orden en espacios comunes.|Fortaleza/Logro|12|1|12|A mejorar|OCTAVO|TM|0,28571429|||Académica|19|99|118||||
Socio-Emocional|For-33. Muestra resiliencia ante el fracaso.|33. Muestra resiliencia ante el fracaso.|Fortaleza/Logro|11|1|11|A mejorar|OCTAVO|TM|0,26190476|||Actitudinal|2|34|36||||
Socio-Emocional|For-35. Trabaja de forma colaborativa y equitativa.|35. Trabaja de forma colaborativa y equitativa.|Fortaleza/Logro|14|1|14|A mejorar|OCTAVO|TM|0,33333333|||Conductual|4|105|109||||
Socio-Emocional|For-37. Es empático con las necesidades ajenas.|37. Es empático con las necesidades ajenas.|Fortaleza/Logro|13|1|13|A mejorar|OCTAVO|TM|0,30952381|||Socio-Emocional|9|72|81||||
Socio-Emocional|For-39. Posee un liderazgo positivo y ético.|39. Posee un liderazgo positivo y ético.|Fortaleza/Logro|11|1|11|A mejorar|OCTAVO|TM|0,26190476|||Total general|34|310|344||||
Socio-Emocional|For-41. Se comunica de manera asertiva.|41. Se comunica de manera asertiva.|Fortaleza/Logro|12|1|12|A mejorar|OCTAVO|TM|0,28571429||||||||||
Socio-Emocional|For-43. Tiene una autoestima académica sólida.|43. Tiene una autoestima académica sólida.|Fortaleza/Logro|12|1|12|A mejorar|OCTAVO|TM|0,28571429||||Etiquetas de columna||||||
Actitudinal|For-45. Muestra curiosidad e iniciativa propia.|45. Muestra curiosidad e iniciativa propia.|Fortaleza/Logro|14|1|14|A mejorar|OCTAVO|TM|0,33333333||||Alerta/Mejora|Fortaleza/Logro|(en blanco)|Total general|||
Actitudinal|For-47. Es persistente en tareas complejas.|47. Es persistente en tareas complejas.|Fortaleza/Logro|11|1|11|A mejorar|OCTAVO|TM|0,26190476|||Suma de Cantidad de veces|34|310||344|||
Actitudinal|For-49. Acepta retroalimentación constructiva.|49. Acepta retroalimentación constructiva.|Fortaleza/Logro|13|1|13|A mejorar|OCTAVO|TM|0,30952381||||||||||
||||||||||||||||||||
||||||||||||||||||||
|||||||||||||Nota |Cantidad de alumnos||% de Alumnos||||
|||||||||||||1|21||50%||Muy bueno |20|48%
|||||||||||||2|0||0%||Bueno|1|2%
|||||||||||||3|1||2%||A mejorar|21|50%
|||||||||||||4|12||29%||||
|||||||||||||5|8||19%||||
||||||||||||||42||||||
